ID ,Title,Author,Genre,Publisher,Published Date ,Pages
1,American Gods,Neil Gaiman,Fantasy, ?William Morrow?,19-Jun-01,465
2,A Game of Thrones,George R. R. Martin,Fantasy,"Bantam Spectra? (US),?Voyager Books?",1-Aug-96,694
3,Tiny Pretty Things ,"Sona Charaipotra, Dhonielle Clayton",Fiction,"Harper Collins Publishers
",26-May-15,464
